Nursing summary from all date ranges
Average feedings per day: 10.1
Average minutes per feeding per day: 16.2
Average total minutes per day: 159.6

Oct 16 2017,,Feedings 3,Average 13.4 minutes,Total 40.1 minutes
Oct 08 2017,,Feedings 12,Average 18.1 minutes,Total 216.7 minutes
Start,End,Duration,Entry,Notes,Location
12:23 am,12:37 am,14 minutes,Nursed from right breast,,
12:41 am,12:52 am,6 minutes,Nursed from left breast,,
12:54 am,1:01 am,4 minutes,Nursed from left breast,,
4:04 am,4:09 am,5 minutes,Nursed from left breast,,
4:14 am,4:28 am,11 minutes,Nursed from right breast,,
4:32 am,4:34 am,2 minutes,Nursed from right breast,,
7:19 am,7:29 am,10 minutes,Nursed from left breast,,
7:31 am,7:35 am,4 minutes,Nursed from right breast,,
8:11 am,8:23 am,11 minutes,Nursed from left breast,,
8:49 am,8:55 am,6 minutes,Nursed from right breast,,
9:25 am,9:28 am,3 minutes,Nursed from left breast,,
9:36 am,9:40 am,4 minutes,Nursed from right breast,,
10:56 am,11:04 am,6 minutes,Nursed from right breast,,
11:06 am,11:12 am,3 minutes,Nursed from right breast,,
12:26 pm,12:40 pm,13 minutes,Nursed from left breast,,
1:16 pm,1:27 pm,9 minutes,Nursed from right breast,,
1:54 pm,2:06 pm,8 minutes,Nursed from left breast,,
2:07 pm,2:20 pm,7 minutes,Nursed from right breast,,
2:20 pm,2:21 pm,1 minute,Nursed from right breast,,
3:42 pm,3:51 pm,9 minutes,Nursed from left breast,,
3:53 pm,4:00 pm,7 minutes,Nursed from right breast,,
4:02 pm,4:10 pm,7 minutes,Nursed from right breast,,
4:48 pm,4:50 pm,2 minutes,Nursed from left breast,,
5:41 pm,5:53 pm,11 minutes,Nursed from left breast,,
6:26 pm,6:41 pm,15 minutes,Nursed from right breast,,
7:04 pm,7:11 pm,7 minutes,Nursed from left breast,,
7:22 pm,7:30 pm,7 minutes,Nursed from left breast,,
7:39 pm,7:47 pm,8 minutes,Nursed from left breast,,
7:55 pm,7:57 pm,2 minutes,Nursed from right breast,,
11:48 pm,11:52 pm,4 minutes,Nursed from left breast,,

Oct 07 2017,,Feedings 7,Average 25.7 minutes,Total 179.6 minutes
Start,End,Duration,Entry,Notes,Location
1:21 am,1:29 am,8 minutes,Nursed from left breast,,
1:33 am,1:42 am,8 minutes,Nursed from right breast,,
5:10 am,5:21 am,11 minutes,Nursed from left breast,,
5:24 am,5:29 am,5 minutes,Nursed from right breast,,
5:38 am,5:42 am,4 minutes,Nursed from right breast,,
7:58 am,8:10 am,12 minutes,Nursed from left breast,,
8:10 am,8:37 am,2 minutes,Nursed from right breast,,
8:37 am,8:57 am,5 minutes,Nursed from right breast,,
8:57 am,9:05 am,8 minutes,Nursed from right breast,,
10:08 am,10:16 am,7 minutes,Nursed from left breast,,
10:16 am,10:29 am,4 minutes,Nursed from right breast,,
10:56 am,11:02 am,6 minutes,Nursed from left breast,,
12:06 pm,12:22 pm,14 minutes,Nursed from right breast,,
12:27 pm,12:36 pm,9 minutes,Nursed from left breast,,
3:17 pm,3:27 pm,9 minutes,Nursed from left breast,,
3:38 pm,3:52 pm,12 minutes,Nursed from right breast,,
3:57 pm,4:07 pm,10 minutes,Nursed from right breast,,
5:19 pm,5:26 pm,7 minutes,Nursed from left breast,,
5:29 pm,5:33 pm,3 minutes,Nursed from right breast,,
5:44 pm,5:49 pm,5 minutes,Nursed from right breast,,
6:09 pm,6:14 pm,5 minutes,Nursed from right breast,,
6:41 pm,6:47 pm,6 minutes,Nursed from left breast,,
7:03 pm,7:07 pm,4 minutes,Nursed from right breast,,
7:32 pm,7:41 pm,8 minutes,Nursed from left breast,,

Oct 06 2017,,Feedings 12,Average 17.5 minutes,Total 210.4 minutes
Start,End,Duration,Entry,Notes,Location
12:59 am,1:11 am,6 minutes,Nursed from left breast,,
1:20 am,1:30 am,9 minutes,Nursed from right breast,,
1:39 am,1:44 am,4 minutes,Nursed from right breast,,
4:10 am,4:17 am,7 minutes,Nursed from left breast,,
4:22 am,4:30 am,5 minutes,Nursed from right breast,,
4:32 am,4:34 am,2 minutes,Nursed from right breast,,
4:37 am,4:38 am,1 minute,Nursed from right breast,,
4:41 am,4:45 am,4 minutes,Nursed from left breast,,
6:58 am,7:09 am,10 minutes,Nursed from left breast,,
